stable_article_id,title,date,primary_body,party,year_month,source,weight,q1_score,q1_n,q2_score,q2_n,q3_score,q3_n,q4_score,q4_n
art_v1_32bbac452b7d6e2bcaa159b91323bb5e2ec0f9f5db5442927051188069e9bd06,Ukraine aid bill faces familiar Senate procedural obstacles,2022-05-11,The Senate finds itself in a familiar position aft,republican,2022-05,Roll Call,1.6094379124341005,23.333333333333332,3.0,10.0,1.0,,,33.333333333333336,3.0
art_v1_32bd4a1838122f33ca68a1fbcf3878b498d92f63a0e9243315ed6912fd358949,"All's not rosy, Joe admits; Citing inflation & war, says he sees why people are 'down'",2023-02-27,"Between inflation at home and war abroad, many Ame",democrat,2023-02,New York Daily News,1.0986122886681098,40.0,2.0,,,,,,
art_v1_32c1b25961b13ebd5db83eb01f572d6337b7851580920f9e76c868bdb206f83f,"With Attacks on Ukraine, Putin Gives Hard-Liners What They Wanted",2022-10-11,A sharp shift toward deadly strikes signaled that ,democrat,2022-10,NYTimes.com Feed,0.6931471805599453,,,,,,,,
art_v1_32c479bcb9b1d93b0759ea39e490f83416ea8a854658797b62ae0e60229181ac,House Republicans embark on electing third speaker nominee as Trump looms,2023-10-24,House Republicans will regroup and again try to el,democrat,2023-10,Washington Post.com,0.6931471805599453,,,,,,,,
art_v1_32c479bcb9b1d93b0759ea39e490f83416ea8a854658797b62ae0e60229181ac,House Republicans embark on electing third speaker nominee as Trump looms,2023-10-24,House Republicans will regroup and again try to el,republican,2023-10,Washington Post.com,0.6931471805599453,,,,,,,,
art_v1_32c73fbc3ab3d4cbfb4f9a3b0db2be57c8282a6a1233b854518239971cac81e6,"In Sprint, Lawmakers Advance $1.7 Trillion Spending Package",2022-12-21,"The legislation, which would fund the government t",democrat,2022-12,The New York Times,1.0986122886681098,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
art_v1_32cea5a62070e8731f7f21d4da321118f4500ba9ea637b81cbfbf7b055cb6edd,"Lawmakers, Biden eye national security supplemental package",2023-10-19,As the world reels from the ongoing unrest in the ,democrat,2023-10,NJ Daily Extra,1.0986122886681098,10.0,2.0,10.0,1.0,,,15.0,2.0
art_v1_32cea5a62070e8731f7f21d4da321118f4500ba9ea637b81cbfbf7b055cb6edd,"Lawmakers, Biden eye national security supplemental package",2023-10-19,As the world reels from the ongoing unrest in the ,republican,2023-10,NJ Daily Extra,1.3862943611198906,80.0,3.0,,,,,60.0,1.0
art_v1_32d36fbec16dd626865a42f833c07465ad5f18c5ebde136c1cb698eface0e430,Marie Yovanovitch praises Volodymyr Zelenskyy as a 'wartime leader like we haven't seen since Winston Churchill',2022-03-25,* Former US Ambassador to Ukraine Marie Yovanovitc,republican,2022-03,Business Insider,2.19722457733622,80.0,1.0,57.5,4.0,,,,
art_v1_32d4ba98aa606ec2651165ffdcef3bb4f96b7653fa6187ac60c68babbea649ec,"Switchblade Drones, Javelins, Stingers, More: Here Are The Weapons Ukraine Is Getting From The U.S. And Others",2022-03-17,"Topline
Here’s a list of the major U.S. weapons—an",democrat,2022-03,Forbes.com,1.3862943611198906,23.333333333333332,3.0,,,,,,
art_v1_32d70153f7bd6b21e69ff25ae6bf4c85edf9f12acd6180bad9567ace34d8f5d8,political notebook; 'Sham' elections observed in occupied Ukraine,2023-10-02,A Russian government entity paid travel expenses f,democrat,2023-10,The Commercial Appeal,0.6931471805599453,80.0,1.0,,,,,90.0,1.0
art_v1_32d70153f7bd6b21e69ff25ae6bf4c85edf9f12acd6180bad9567ace34d8f5d8,political notebook; 'Sham' elections observed in occupied Ukraine,2023-10-02,A Russian government entity paid travel expenses f,republican,2023-10,The Commercial Appeal,0.6931471805599453,,,,,,,,
art_v1_32ddd7405f35ef44b832d8a4e313c0960986a66ed23cc7f3a1eb967df5bbeb49,"At Six Months, Kyiv Gains Momentum",2022-08-24,Six months after Russia launched its full-scale in,democrat,2022-08,The Wall Street Journal,0.6931471805599453,,,,,,,,
art_v1_32ddd7405f35ef44b832d8a4e313c0960986a66ed23cc7f3a1eb967df5bbeb49,"At Six Months, Kyiv Gains Momentum",2022-08-24,Six months after Russia launched its full-scale in,republican,2022-08,The Wall Street Journal,1.0986122886681098,42.5,2.0,10.0,1.0,,,,
art_v1_32deb06e232d70a985b830a07787eee99041b6de65882cb74cb7e027447608f7,Walker says Trump shouldn't skip debate; He talks about the risk of offending voters in state,2023-08-12,Now at the helm of a young conservative action gro,republican,2023-08,Wausau Daily Herald,1.0986122886681098,75.0,1.0,,,,,,
art_v1_32e5d3258b7bb45afd7965f9ba8b2e78fc02f761831ca065e57cd7c339b63ab0,"The Senate passes big government funding bill with emergency Ukraine aid, sending it to Biden's desk for final approval",2022-03-11,* The Senate approved a government funding bill wi,democrat,2022-03,Business Insider,1.0986122886681098,0.0,1.0,,,,,,
art_v1_32e6f10a21b9e7ee8e21e217ffc3a274bfec3b0bc979e0f13d7bd1275148955e,DOD -- nearly out of Ukraine funds -- slows down replenishment of U.S. weapons,2023-10-03,The Defense Department has exhausted all congressi,democrat,2023-10,InsideDefense.com's SitRep,1.3862943611198906,0.0,2.0,,,,,0.0,1.0
art_v1_32f531fbc6e515283033a971cfd415afe7dc0aed7f38a50c09b3fdb7eb310db3,"On Issue After Issue, Trump Promises the Moon. No Word on the Rocket.",2024-12-10,The president-elect has made some of the most expa,republican,2024-12,NYTimes.com Feed,1.6094379124341005,65.0,2.0,50.0,1.0,,,,
art_v1_32f5789bfec3ab4400ef59b27d3dec0966e41ebe64f2015f431420eb5a01e0d7,"For Republicans, it's going to be a fabulist 2023",2022-12-23,The Ukrainian president received a hero's welcome.,democrat,2022-12,The Washington Post,1.0986122886681098,20.0,1.0,20.0,1.0,,,,
art_v1_32f5789bfec3ab4400ef59b27d3dec0966e41ebe64f2015f431420eb5a01e0d7,"For Republicans, it's going to be a fabulist 2023",2022-12-23,The Ukrainian president received a hero's welcome.,republican,2022-12,The Washington Post,1.791759469228055,65.0,4.0,55.0,2.0,,,60.0,1.0
art_v1_3307ba221270ae56b18aaf3a17764241cd208ad40823ef76a166551456ecb116,Was it a gaffe or an escalation? Biden prompts concern after saying Putin 'cannot remain in power',2022-03-27,"After four days of alliance building, emotional in",democrat,2022-03,USA Today Online,1.6094379124341005,20.0,1.0,20.0,1.0,20.0,1.0,,
art_v1_3307ba221270ae56b18aaf3a17764241cd208ad40823ef76a166551456ecb116,Was it a gaffe or an escalation? Biden prompts concern after saying Putin 'cannot remain in power',2022-03-27,"After four days of alliance building, emotional in",republican,2022-03,USA Today Online,0.6931471805599453,10.0,1.0,10.0,1.0,,,,
art_v1_330889e32e6e21cc86944bd0d8c418f750ce75ec62b033c60a17145775a82d23,"Cluster bombs come at high price Kyiv embraces key munitions, but is trade-off worth it? War in ukraine",2023-09-10,ROME - The images of Russian troops retreating fro,democrat,2023-09,The Capital,1.6094379124341005,6.666666666666667,3.0,,,,,,
art_v1_330c586a54a0eb8248b4ec00380336caaa0c055eb30abc9681d23dd06eeb9807,Ukraine Strains to Maintain Neutrality Through U.S. Political Dogfight,2024-07-08,"With President Biden's future unclear, Donald J. T",democrat,2024-07,The New York Times,1.3862943611198906,46.666666666666664,3.0,20.0,1.0,,,0.0,1.0
art_v1_330c586a54a0eb8248b4ec00380336caaa0c055eb30abc9681d23dd06eeb9807,Ukraine Strains to Maintain Neutrality Through U.S. Political Dogfight,2024-07-08,"With President Biden's future unclear, Donald J. T",republican,2024-07,The New York Times,1.791759469228055,55.0,4.0,,,,,,
art_v1_3312343c5ef53b9355980a1054c80075bcc219c83e7e14db1eec9c6fd48dd966,Recession Odds Are Rising Amid Ukraine Invasion—Here's What Could Pose 'Serious Risk' To U.S. Economy,2022-03-11,"Topline
Analysts at investment bank Goldman Sachs ",democrat,2022-03,Forbes.com,0.6931471805599453,,,,,,,,
art_v1_331ceae69e70f8a5e5a667bf59add3cc0a9b17ce353d93a552f73bed5ae793b4,"AS GOP TAKES HOUSE, THE CRAZIES TAKE THE WHEEL",2022-11-22,"WASHINGTON-Wednesday evening, Republicans formally",democrat,2022-11,The Capital Times & Wisconsin State Journal,0.6931471805599453,90.0,1.0,80.0,1.0,,,80.0,1.0
art_v1_331ceae69e70f8a5e5a667bf59add3cc0a9b17ce353d93a552f73bed5ae793b4,"AS GOP TAKES HOUSE, THE CRAZIES TAKE THE WHEEL",2022-11-22,"WASHINGTON-Wednesday evening, Republicans formally",republican,2022-11,The Capital Times & Wisconsin State Journal,1.791759469228055,86.0,5.0,,,,,50.0,1.0
art_v1_331eaf8637bb724ac22b0cc5f7462f3d01ffd7f9990d5d6cedb621e29c9608fd,Area couple says mood in Ukraine falls as aid leaves,2024-03-10,A Santa Fe couple has learned how much difference ,republican,2024-03,The Santa Fe New Mexican,0.6931471805599453,0.0,1.0,,,,,,
art_v1_3321a62fe248defb7969d5b704174e67898d8e021357b0b021953632cd314d61,"Friday, March 22. Russia’s War On Ukraine: News And Information From Ukraine",2024-03-22,"Dispatches from Ukraine. Day 758
Largest Russian a",republican,2024-03,Forbes.com,0.6931471805599453,80.0,1.0,,,,,50.0,1.0
art_v1_3326a441115b086a658948822c4c4eefaaff7b54a5b534a1f239f36f74e31735,A World Short on Food,2022-06-28,With a food shortage threatening to create widespr,democrat,2022-06,The New York Times,1.0986122886681098,0.0,1.0,0.0,1.0,,,0.0,2.0
art_v1_333087c8db6065e621bc8478febb62d1e6087b5269ecb97f09e9e9427dee5353,"China, Anti-DEI, Ukraine: What You Need to Know About Trump’s Pick for National Security Adviser",2024-11-12,President Donald Trump’s choice of national securi,democrat,2024-11,Heritage Foundation - The Daily Signal,0.6931471805599453,20.0,1.0,20.0,1.0,,,,
art_v1_333087c8db6065e621bc8478febb62d1e6087b5269ecb97f09e9e9427dee5353,"China, Anti-DEI, Ukraine: What You Need to Know About Trump’s Pick for National Security Adviser",2024-11-12,President Donald Trump’s choice of national securi,republican,2024-11,Heritage Foundation - The Daily Signal,0.6931471805599453,,,,,,,,
art_v1_33333ee618329ff39cbb6fdb38f1cff6dd52817fb41f0aa7f37f5d982a82eb95,Ukrainian politician who idolizes Reagan tries to win over today's Republicans,2022-12-12,"KYIV, Ukraine — The seven-foot-tall bronze statue ",democrat,2022-12,Washington Post.com,1.0986122886681098,27.5,2.0,,,,,75.0,1.0
art_v1_33333ee618329ff39cbb6fdb38f1cff6dd52817fb41f0aa7f37f5d982a82eb95,Ukrainian politician who idolizes Reagan tries to win over today's Republicans,2022-12-12,"KYIV, Ukraine — The seven-foot-tall bronze statue ",republican,2022-12,Washington Post.com,2.3978952727983707,43.888888888888886,9.0,31.666666666666668,3.0,,,0.0,1.0
art_v1_333be75e1c4360996b259864c1e669179fc87ed3294bd57c7f82986c0734f914,This Is No Time for Protectionism,2022-03-02,The first third of President Joe Biden’s State of ,democrat,2022-03,The Atlantic,0.6931471805599453,0.0,1.0,,,,,0.0,1.0
art_v1_3345290c32b8c0d3835dd4d828deef4a113089db9e26f666fb40e4d0bf15c5af,Experts: Russia may use siege tactics,2022-03-04,WASHINGTON – Russian President Vladimir Putin's mi,democrat,2022-03,USA Today,0.6931471805599453,,,0.0,1.0,0.0,1.0,,
art_v1_33484d89492f4fb6e253f541aac0480907e3755ebd7f5fcaa1fc1c9afb83acb2,New aid package to Ukraine includes dozens of howitzers and USAF-developed drone,2022-04-21,President Biden and the Pentagon have announced th,democrat,2022-04,Inside the Air Force,1.0986122886681098,5.0,2.0,10.0,1.0,,,10.0,1.0
art_v1_334de817cc214e5114120c1b13d7043a2c6e0acdcb4ac94cb33087ffa647461d,Kyiv Without Water,2022-11-01,A Russian missile attack crippled the water supply,democrat,2022-11,NYTimes.com Feed,0.6931471805599453,70.0,1.0,,,,,,
art_v1_334eeb3af4e205b557a1c40e9544ec07e526341fe0959ebe18a77a0c1222b193,Fact check: Claimed images of 'angel' cloud formations over besieged Kyiv are actually years old,2022-03-12,The claim: Photos show 'angel'-like cloud formatio,democrat,2022-03,USA Today Online,0.6931471805599453,0.0,1.0,,,,,0.0,1.0
art_v1_33551f78108863789b5af86eead1e8d94b49c78d0ec9fe42a8d11733d7105e5b,Russian troops forced to retreat from city in newly annexed region as Ukraine pushes forward: Updates,2022-10-01,Russia said Saturday that it has withdrawn its tro,democrat,2022-10,USA Today Online,0.6931471805599453,20.0,1.0,20.0,1.0,,,,
art_v1_3361e3d4fe69c7c52b666b481cbb25a6d3e95dc92daf9aea2acfbb9e130b76eb,"Trump's NATO jabs fail to rattle GOP; Once critical, top officials stand by former president",2024-02-13,After former President Donald Trump suggested he h,republican,2024-02,Daily Press,1.0986122886681098,90.0,1.0,,,,,,
art_v1_3363f42cc1efb86ddb7f381aa94e095b6335aa3753d2fc3852c9513dbccbf0f8,Congress's Holiday From History,2023-12-22,The Senate skipped town for the holidays without a,democrat,2023-12,The Wall Street Journal,0.6931471805599453,10.0,1.0,10.0,1.0,,,,
art_v1_3369323195699cd2f576a711cd80254763f0657060d2cf5211329e9011b6381b,West Sees Little Choice but to Keep Backing Ukraine; Putin's escalation has convinced most Western capitals there is no prospect of peace talks soon,2022-11-07,Washington and its allies see little prospect of a,republican,2022-11,The Wall Street Journal Online,1.6094379124341005,42.5,4.0,0.0,1.0,0.0,1.0,,
art_v1_336cabd9aeb816cedd48fc5889c01696e5d80320868af6d685be48b1e6e6c55a,MOST WESTERN PA. LAWMAKERS BACK NATIONAL SECURITY LAW THAT PASSES U.S. HOUSE,2024-04-21,WASHINGTON - U.S. Rep. Summer Lee was the only Wes,democrat,2024-04,Pittsburgh Post-Gazette,1.0986122886681098,40.0,2.0,,,,,,
art_v1_336cabd9aeb816cedd48fc5889c01696e5d80320868af6d685be48b1e6e6c55a,MOST WESTERN PA. LAWMAKERS BACK NATIONAL SECURITY LAW THAT PASSES U.S. HOUSE,2024-04-21,WASHINGTON - U.S. Rep. Summer Lee was the only Wes,republican,2024-04,Pittsburgh Post-Gazette,0.6931471805599453,80.0,1.0,,,,,,
art_v1_336cb57e8b988ad44972d0c29b2c9eb1ec970bf64085e129164b302c2026058a,Madison Cawthorn Trashes Zelensky as a ‘Thug’ Pushing ‘Woke Ideologies’,2022-03-10,Ukraine is in the throes of fighting off an invasi,republican,2022-03,Rolling Stone,0.6931471805599453,90.0,1.0,100.0,1.0,,,90.0,1.0
art_v1_336ed1ebaa0d6718cd661214717a3e134b9e133383d16b6266a91d2b11fe59dc,U.S. Altered Himars Rocket Launchers to Keep Ukraine From Firing Missiles Into Russia; Experts debate whether long-range missiles for Ukraine would deter Putin or widen war,2022-12-06,WASHINGTON—The U.S. secretly modified the advanced,democrat,2022-12,The Wall Street Journal Online,2.079441541679836,39.285714285714285,7.0,10.0,1.0,6.666666666666667,3.0,0.0,1.0
art_v1_336ed1ebaa0d6718cd661214717a3e134b9e133383d16b6266a91d2b11fe59dc,U.S. Altered Himars Rocket Launchers to Keep Ukraine From Firing Missiles Into Russia; Experts debate whether long-range missiles for Ukraine would deter Putin or widen war,2022-12-06,WASHINGTON—The U.S. secretly modified the advanced,republican,2022-12,The Wall Street Journal Online,0.6931471805599453,,,,,,,,
art_v1_3373e7bc05b3131d69914bf99696c61929d0527c351344effe7dc7e457527a46,"US pressured for more Russia intel; Ukraine relies on support to help it plan, repel attacks; War in Ukraine",2022-04-18,WASHINGTON - President Joe Biden has called Russia,democrat,2022-04,The Baltimore Sun,1.0986122886681098,20.0,1.0,0.0,1.0,,,,
art_v1_3373e7bc05b3131d69914bf99696c61929d0527c351344effe7dc7e457527a46,"US pressured for more Russia intel; Ukraine relies on support to help it plan, repel attacks; War in Ukraine",2022-04-18,WASHINGTON - President Joe Biden has called Russia,republican,2022-04,The Baltimore Sun,1.3862943611198906,0.0,1.0,0.0,1.0,,,,
art_v1_3374293fee34ad035baef0de97feb2ca0695724b0c27febc5a7b8f3fa4228cfe,"Uneasy times for military in region; Looming shutdown threatens pay, defense work in Hampton Roads",2023-09-24,Hundreds of thousands of defense workers could be ,democrat,2023-09,Daily Press,0.6931471805599453,0.0,1.0,,,,,,
art_v1_337aeff2775290b7ac646c000e5814f8bbfb038edde23e226b327b37e7b5b05e,Joe Biden Slams House 'Two-Week Vacation' Amid Crisis: 'Brave Ukrainian Soldiers And Civilians Are Dying',2024-02-27,President Joe Biden criticized the U.S. Congress f,democrat,2024-02,Benzinga.com,1.3862943611198906,10.0,2.0,,,,,,
art_v1_337aeff2775290b7ac646c000e5814f8bbfb038edde23e226b327b37e7b5b05e,Joe Biden Slams House 'Two-Week Vacation' Amid Crisis: 'Brave Ukrainian Soldiers And Civilians Are Dying',2024-02-27,President Joe Biden criticized the U.S. Congress f,republican,2024-02,Benzinga.com,1.0986122886681098,75.0,1.0,,,0.0,1.0,,
art_v1_337b3df8ccc9579ddd9d61f140f2ddb11c15d57fa43bb70f46286a51f40529ea,"Short on rockets, Ukraine has had to get 'more selective' with its HIMARS attacks, soldier says",2024-04-17,* Ukraine's ammo shortages are also affecting its ,republican,2024-04,Business Insider,1.0986122886681098,77.5,2.0,,,,,,
art_v1_337ec404e05a961c0ab2cfea3b00280cee0e10ed5e40459e5b9e2d0a06e1785e,What is known about suspect in Trump attack,2024-09-17,The man held in a suspected assassination attempt ,republican,2024-09,The Montgomery Advertiser,0.6931471805599453,,,,,,,,
art_v1_337fcb0c22f6e69161e4db984ee132daeaf01247e58ad5b7e69592d066fcb0b0,INVASION Kremlin's fighting words Top diplo calls Zel's peace proposal DOA,2023-09-25,Russia's foreign minister panned a Ukrainian peace,democrat,2023-09,New York Post,0.6931471805599453,,,0.0,1.0,0.0,1.0,,
art_v1_3381e8aebb6800e7583731c5f908fc12367f9badc95adace53d34ab8a832dacf,"Monday, May 2. Russia’s War On Ukraine: News And Information From Ukraine",2022-05-02,"Dispatches from Ukraine, provided by Forbes Ukrain",democrat,2022-05,Forbes.com,0.6931471805599453,,,0.0,1.0,,,,
art_v1_338439581e63be597a39ff013f52f9cd84d9e6e6d8cc2b1f48082db69f404f6f,Ukrainian war creating devastating food crisis,2022-04-08,Where food insecurity exists today could be famine,republican,2022-04,Farm Industry News,0.6931471805599453,,,0.0,1.0,,,,
art_v1_3386bd6ea47618cde08ffe3676a2dab14ec643ce49ea4e1f4192b0993e15d26e,"U.K. and Allies Weigh Sending Ukraine Heavy Tanks, Pointing to New Phase of the War; London is discussing providing British Challenger 2 tanks to help push back Russian forces",2023-01-10,"Corrections & Amplifications
A photo and caption i",democrat,2023-01,The Wall Street Journal Online,0.6931471805599453,20.0,1.0,,,,,,
art_v1_3387e8a3a2edb3bc3180b44e366ad6c460d70a38cdd21e18a8f274a8594ef79e,Let's settle the Ukraine War,2023-09-17,As the war in Ukraine continues to eat up lives an,democrat,2023-09,Chillicothe Gazette,0.6931471805599453,,,,,,,,
art_v1_33882b4079dabc5dc8e4029dd598d4a02d47c0c44c72a0b0fae11db6929d804a,"The U.S. is quietly sharing its estimate of Russian war casualties: more than 75,000 killed or injured.",2022-07-28,The Biden administration is quietly circulating an,democrat,2022-07,NYTimes.com Feed,0.6931471805599453,,,,,,,,
art_v1_3391409df5c0b4c8120fb3d1946b106ddcec240eca2ebb33574bc47b433a500f,Biden Bans Russian Oil Over 'Vicious War',2022-03-09,Officials said President Biden had struggled for d,democrat,2022-03,The New York Times,1.3862943611198906,0.0,2.0,0.0,3.0,,,0.0,1.0
art_v1_339803c9939a479e4847cf39e15360a9eddd9dc619bd49b422ae3a009be5dcde,Remarks by Vice President Harris and Prime Minister Simonyte of Lithuania Before Bilateral Meeting,2022-12-07,"December 7, 2022
Remarks by Vice President Harris ",republican,2022-12,White House Press Releases And Documents,0.6931471805599453,60.0,1.0,0.0,1.0,,,,
art_v1_33aa842ae57b503774aaef991d6e62b0c0740076b69c3b0f93c12c403a96fc1a,HOW IDAHO SEN. RISCH BECAME A LEADER ON FOREIGN POLICY Peers say former prosecutor stays true to state’s ‘values’,2023-12-17,"WASHINGTON - By his own account, Jim Risch arrived",republican,2023-12,The Spokesman-Review,2.079441541679836,60.0,6.0,65.0,2.0,,,100.0,1.0
art_v1_33aab2908e47a477c92a227a9b494e12a421a9c49b80a576c9dbd75786480c25,Pentagon Announces $1.1 Billion More in Military Aid for Ukraine,2022-09-29,"September 29, 2022 6:55 AM
The Pentagon is providi",democrat,2022-09,Voice of America Press Releases and Documents,1.0986122886681098,10.0,2.0,,,,,20.0,1.0
art_v1_33abadb23d264a6af802a44e141f48f99ea0d4ac04a0f68625c574ce5977d246,Biden is giving Ukraine the deadliest weapons yet. Will it make a difference?,2022-06-02,WASHINGTON – President Joe Biden's decision to pro,democrat,2022-06,USA Today Online,1.9459101490553128,14.0,5.0,5.0,2.0,80.0,1.0,0.0,1.0
art_v1_33b08f91baf521a0a9597aaed679216448567358044ce32ec91e0d9118005dac,Winter Miseries Loom as Kremlin Targets Utilities,2022-10-19,"The stepped-up attacks on cities, including throug",republican,2022-10,The New York Times,1.0986122886681098,,,,,,,,
art_v1_33b1b7dd18d8b87de56ab1694074db20de6385d5911fc4060560998e95662d14,"Senate passes a $95.3 billion aid package for Ukraine and Israel, but fate in the House is uncertain",2024-02-13,Washington — The Senate early Tuesday passed a $95,democrat,2024-02,The Detroit News Online,1.3862943611198906,10.0,2.0,,,,,10.0,2.0
art_v1_33b1b7dd18d8b87de56ab1694074db20de6385d5911fc4060560998e95662d14,"Senate passes a $95.3 billion aid package for Ukraine and Israel, but fate in the House is uncertain",2024-02-13,Washington — The Senate early Tuesday passed a $95,republican,2024-02,The Detroit News Online,2.4849066497880004,51.25,8.0,10.0,1.0,,,57.5,4.0
art_v1_33b40b73fef337dd3b8f4c364c52fd0470b1af0053ed261eb43066de28f1b20c,"With a ‘partial mobilization,’ Putin escalates the war.",2022-09-21,President Vladimir V. Putin of Russia accelerated ,democrat,2022-09,NYTimes.com Feed,0.6931471805599453,,,0.0,1.0,,,,
art_v1_33b5cbfed272acdfaae3d1228180217ff45dcc457fc60191dc9dc5614d49862c,What America’s Great Unwinding Would Mean for the World,2022-08-08,A peculiar cognitive dissonance seems to have take,republican,2022-08,The Atlantic,0.6931471805599453,50.0,1.0,,,,,50.0,1.0
art_v1_33b669575aecb8bfae65c4ccf30182b2c6ef75f95e09fa2065614df61f9ecdb2,‘They Forgot About Us’: Inside the Wait for Refugee Status,2022-10-19,"WASHINGTON — For the past eight years, Ahmed Moham",democrat,2022-10,NYTimes.com Feed,1.0986122886681098,,,,,,,0.0,1.0
art_v1_33b77823b7916ff4976e62eb694feadc6079e113b9b98a823d28347a0fb43947,US to Streamline Admittance of Ukrainian Refugees,2022-04-21,"April 21, 2022 11:53 AM
More Ukrainian refugees wi",democrat,2022-04,Voice of America Press Releases and Documents,0.6931471805599453,,,,,,,,
art_v1_33b838c206480082c4bf2600563362066700e5e6f11ea858d0d9256c309c497c,Even a meeting between U.S. and South Korea becomes about Ukraine,2023-04-26,With a friendly mix of crab cakes and banana split,democrat,2023-04,NJ Daily Extra,0.6931471805599453,0.0,1.0,,,,,,
art_v1_33b854b0637b56bcb40721dc2cd446c9eb94a83c930e8d9ce5d11720f3ec8b43,U.S. diplomats return to Kyiv for the first time since Russia invaded Ukraine.,2022-05-09,A team of senior American diplomats returned to th,democrat,2022-05,NYTimes.com Feed,0.6931471805599453,20.0,1.0,,,,,20.0,1.0
art_v1_33bbf841568cab66a77740e4c543071eb338cabc9936eaefeb696b304375c06c,Live: Kremlin Indicates It May Agree To Austrian Or Swedish Models Of Neutrality For Ukraine,2022-03-15,Follow real-time updates on Russia's invasion of U,democrat,2022-03,Forbes.com,1.0986122886681098,10.0,2.0,,,,,,
art_v1_33bbf841568cab66a77740e4c543071eb338cabc9936eaefeb696b304375c06c,Live: Kremlin Indicates It May Agree To Austrian Or Swedish Models Of Neutrality For Ukraine,2022-03-15,Follow real-time updates on Russia's invasion of U,republican,2022-03,Forbes.com,1.3862943611198906,20.0,1.0,10.0,2.0,0.0,2.0,20.0,1.0
art_v1_33bd39d88a37d7193f6255edbbcb3f6be5c4cbc29cbc6e45e8134c067a74cf7e,"In Ukraine War, Talking About Peace Is a Fight of Its Own",2023-02-26,Russia and the West have argued for months about w,democrat,2023-02,NYTimes.com Feed,1.0986122886681098,,,0.0,1.0,0.0,1.0,,
art_v1_33be6d6c9aae2e3b693d25fb33b414b4867b223da3bff12e9f8673ccd17aa82c,Here’s the latest on the presidential race.,2024-09-26,"Vice President Kamala Harris, standing alongside P",democrat,2024-09,NYTimes.com Feed,0.6931471805599453,,,,,,,,
art_v1_33be6d6c9aae2e3b693d25fb33b414b4867b223da3bff12e9f8673ccd17aa82c,Here’s the latest on the presidential race.,2024-09-26,"Vice President Kamala Harris, standing alongside P",republican,2024-09,NYTimes.com Feed,0.6931471805599453,50.0,1.0,50.0,1.0,,,,
art_v1_33c2308af2681b1daf5fe3dc31dd65aa32bb968f903b9f10453e1e1320237328,Understanding the weapons that have drawn the world's attention since Russia's invasion of Ukraine,2022-04-01,Russian officials claimed Wednesday to have fired ,democrat,2022-04,Washington Post.com,1.0986122886681098,,,,,,,,
art_v1_33ce8c01efe048f9ca57efa034a7493065814369c4e0c213852792b5a853ee46,Live: U.S. Says 90% Of Russian Forces Are Now In Ukraine,2022-03-02,Follow real-time updates on Russia's invasion of U,democrat,2022-03,Forbes.com,1.6094379124341005,10.0,3.0,,,50.0,1.0,20.0,2.0
art_v1_33ce8c01efe048f9ca57efa034a7493065814369c4e0c213852792b5a853ee46,Live: U.S. Says 90% Of Russian Forces Are Now In Ukraine,2022-03-02,Follow real-time updates on Russia's invasion of U,republican,2022-03,Forbes.com,1.3862943611198906,,,,,,,,
art_v1_33d071199fa019d7d4cea7ab8173a0f53544c197c390da86365b58bffd8c6340,"Russia threat to G-7, NATO real",2022-07-04,"By definition, meetings of global leaders are impo",democrat,2022-07,The Columbian,1.0986122886681098,5.0,2.0,,,,,5.0,2.0
art_v1_33d54cbd8b1e346e7312e71b3388a4745f8018a8c941b2b42a92446787aff46c,Russian Informant Detained For Plot To Assassinate Ukrainian President Volodymyr Zelenskyy,2023-08-08,A Russian informant planning to assassinate Ukrain,republican,2023-08,Benzinga.com,0.6931471805599453,75.0,1.0,,,,,,
art_v1_33d8dbf0b741029b59a09489e0b5c0621cef7f47c10f7e7697ae2ad1f402dff4,VP Harris Represents U.S. at Munich Security Conference,2024-02-17,"February 17, 2024
ICYMI: Vice President Kamala Har",democrat,2024-02,White House Press Releases And Documents,1.3862943611198906,5.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0
art_v1_33e8610abe717ac339136494fe3c94da4efc1d55822ab870a96752ececcec012,"Chris Christie blames war in Ukraine on Barack Obama, Donald Trump and Joe Biden: 'Failed leadership'",2023-08-09,"WASHINGTON — Presidential hopeful Chris Christie, ",republican,2023-08,USA Today Online,0.6931471805599453,,,,,,,,
art_v1_33eb656333249d35becc134262638d457b2a8af8f52c99320be85d1aa8c02c11,Staged Annexation Vote Starts in Russian-Occupied Areas of Ukraine; Kyiv's allies say 'sham' ballot would further escalate the conflict,2022-09-24,Russian officials opened polling stations on Frida,democrat,2022-09,The Wall Street Journal Online,0.6931471805599453,20.0,1.0,10.0,1.0,,,,
art_v1_33eb8afa843a8cfe07f9377ebfdc9edb7bc611f74371a13f20f035eae5355408,Ukraine left in security limbo with Zelensky U.S. trip results unclear,2024-10-05,KYIV — More than a week after Ukrainian President ,democrat,2024-10,Washington Post.com,1.3862943611198906,,,,,,,,
art_v1_33eb8afa843a8cfe07f9377ebfdc9edb7bc611f74371a13f20f035eae5355408,Ukraine left in security limbo with Zelensky U.S. trip results unclear,2024-10-05,KYIV — More than a week after Ukrainian President ,republican,2024-10,Washington Post.com,0.6931471805599453,,,,,,,,
